Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Price,DistrictId
52,10311,6,,1,266705.08697586285,61
2,629,1,,0,116246.85123454715,27
17,3379,9,100.0,0,221303.2915680073,107
24,5613,5,1340.0,2,188366.55835942645,49
30,5285,0,645.0,6,219003.7356519832,84
27,5664,48,2300.0,3,330587.3179446931,130
25,5648,1,30.0,2,268170.85082156444,9
2,629,1,,0,126997.37418934748,27
52,10311,6,,1,161452.31736000348,61
46,9515,5,,1,385730.55158080376,48
6,1437,3,,0,203620.0363281107,23
37,5288,0,1937.0,3,336401.9093220363,90
5,1564,0,540.0,0,182625.54887189693,6
23,3975,8,770.0,2,86706.41350206478,100
49,11395,3,1406.0,3,223562.7648351837,57
22,6398,141,1046.0,3,165895.48692259967,30
25,4724,2,1308.0,1,201994.18477491435,37
74,19083,2,,5,289429.68542262545,12
33,7425,1,,2,174542.97913433638,2
5,1564,0,540.0,0,167203.80125383288,6
23,5212,6,,3,312993.33953244,45
30,6564,1,,0,166366.39324224324,91
39,7614,3,,1,210243.47392953577,62
21,4231,14,1020.0,0,188580.8414830799,167
43,10621,1,30.0,2,139769.8887951982,93
2,469,0,,0,199508.37982009383,27
2,629,1,,0,148330.64862328474,27
4,915,0,,0,135468.42478463677,27
42,9292,3,2620.0,0,430313.98210657,2
25,3478,11,2729.0,3,244124.42442754025,125
6,1437,3,,0,119207.5184715648,23
21,4346,2,165.0,1,97480.84579121423,8
38,4788,2,,0,254878.0686818036,67
5,1564,0,540.0,0,123044.21369945849,6
5,1564,0,540.0,0,216181.63705620068,6
24,5469,1,145.0,0,522197.03599526,113
49,11395,3,1406.0,3,223792.82270907308,57
2,629,1,,0,228148.4451774364,62
36,6714,2,2672.0,0,87629.08452614766,177
31,6137,4,,0,275398.3300611451,46
36,6714,2,2672.0,0,179073.75310779636,26
30,6207,1,1183.0,1,152641.39877725413,28
1,264,0,,0,100226.36376138523,1
31,6137,4,,0,212108.8266234428,46
66,10573,1,1322.0,3,219547.19291243528,99
5,1564,0,540.0,0,140916.74482445407,6
30,6207,1,1183.0,1,186259.2693945293,28
5,1564,0,540.0,0,122001.94866676032,6
6,1437,3,,0,158724.8991363692,74
25,5027,4,46.0,1,514801.74466123455,89
2,629,1,,0,193847.6420158582,62
32,5889,10,830.0,4,558262.1391143772,31
1,264,0,,0,154350.5279320306,1
5,1564,0,540.0,0,118094.74940767635,6
8,1986,0,,0,203131.5442329005,9
25,5648,1,30.0,2,134910.71558758087,9
26,4439,1,1130.0,1,204126.8476889556,8
6,1437,3,,0,166590.885266394,23
33,7976,5,,0,196300.01084121183,98
43,8429,3,,3,180763.61502716885,88
21,4346,2,165.0,1,356579.96341480146,78
1,264,0,,0,170313.28886098106,1
5,1564,0,540.0,0,214324.13185536183,6
33,8667,2,,0,194837.75236990547,94
53,13670,4,,1,323536.76683847763,25
2,469,0,,0,189803.0161192754,27
43,7227,0,,1,193040.95001292368,67
1,264,0,,0,284003.009712006,1
1,264,0,,0,276242.2232134856,1
74,19083,2,,5,317265.3237919713,57
1,264,0,,0,142654.16970942472,1
34,7065,1,750.0,2,105567.29655620578,52
23,3975,8,770.0,2,282265.4943310505,100
0,168,0,,0,74012.21899057832,23
50,12238,8,1970.0,2,488762.8066878293,24
23,4635,5,3300.0,2,415428.269792166,111
31,7010,5,4508.0,3,160230.18645322698,86
33,6783,3,,1,547029.9026889608,69
42,9292,3,2620.0,0,565355.9389967453,7
34,7759,0,229.0,1,280196.60980388673,53
6,1437,3,,0,181077.52366882964,23
11,2370,0,,0,218539.0864962007,9
5,1135,0,,0,162953.4315163191,62
31,6137,4,,0,217783.6700262196,25
1,264,0,,0,219119.83843267025,1
2,475,0,,0,95841.12656784776,23
52,10311,6,,1,214471.5202803511,61
5,1564,0,540.0,0,137283.78224619754,6
74,19083,2,,5,137707.22228374713,13
23,5735,3,1084.0,0,113898.47811062708,58
30,6207,1,1183.0,1,177855.18316574203,28
32,5889,10,830.0,4,224385.77010075536,31
34,7065,1,750.0,2,176037.78129644104,52
23,5735,3,1084.0,0,209500.2760143315,58
25,5011,8,730.0,0,218642.9762301549,39
36,5992,0,,1,263422.6480145961,11
6,1437,3,,0,169492.86767709127,23
43,10621,1,30.0,2,133188.8183333017,3
36,6714,2,2672.0,0,186265.56859193236,26
25,4724,2,1308.0,1,162491.60854951316,44
25,5011,8,730.0,0,181888.65155540872,39
28,6533,1,1015.0,2,175973.6947668361,11
22,4625,11,3855.0,2,166731.53226430752,138
39,7614,3,,1,432428.0883081117,64
33,7976,5,,0,242403.7158755711,35
34,7065,1,750.0,2,124367.45426896893,52
24,4378,0,1036.0,1,394691.7847746589,44
46,9515,5,,1,217089.93446942847,48
1,264,0,,0,119627.82157783111,1
52,11217,1,2300.0,1,117408.42365937322,85
29,6566,7,1894.0,4,497830.3136404808,124
38,4788,2,,0,269499.6098851904,83
4,915,0,,0,149812.53664027472,27
5,1564,0,540.0,0,188805.6932933005,6
32,6748,93,562.0,4,360914.0984527296,183
34,7759,0,229.0,1,222655.4106545439,53
23,4583,3,,3,118725.693077987,47
43,10621,1,30.0,2,183744.9522402997,3
6,2733,0,920.0,0,573451.6558222222,123
31,5569,0,,1,151976.07035832485,55
31,6119,4,,1,202899.70893223296,29
5,1564,0,540.0,0,147558.65628550874,6
23,3975,8,770.0,2,287940.7218876661,100
43,10621,1,30.0,2,102046.20534552868,3
47,8004,3,125.0,3,88967.92179704596,125
34,7065,1,750.0,2,199345.3383949852,74
6,1437,3,,0,173760.2267841799,23
6,1437,3,,0,159646.34782642688,74
30,7538,87,4702.0,5,503712.15397915104,157
25,5487,3,,0,192248.07252235227,21
66,10573,1,1322.0,3,157767.95172995952,91
31,6137,4,,0,184036.00514554788,46
16,3893,27,,3,183610.4718529348,151
21,5731,0,,1,286626.4489079289,15
53,13670,4,,1,177202.98620737233,9
34,7065,1,750.0,2,183906.78571599972,52
37,7687,11,176.0,5,504820.0579131246,59
2,469,0,,0,177572.8258374342,27
33,6783,3,,1,353466.55486772646,69
1,264,0,,0,141216.94851037598,1
2,629,1,,0,205998.69217422488,27
38,4788,2,,0,237700.86674687968,67
33,8667,2,,0,166454.39812240296,94
47,8004,3,125.0,3,253489.83580506305,125
46,10309,1,240.0,1,128912.09787049051,47
53,14892,4,,1,165636.15532047168,96
16,3893,27,,3,293158.9755633569,33
50,12238,8,1970.0,2,205303.2742911619,66
1,264,0,,0,205290.15474739447,1
49,11395,3,1406.0,3,286117.20238598576,57
1,388,0,,0,73407.1036795243,23
74,19083,2,,5,87477.22128016582,12
28,6533,1,1015.0,2,270486.03774432203,101
23,4635,5,3300.0,2,497573.388939117,17
20,4386,14,,1,401899.146615009,92
30,6141,10,262.0,3,263580.9160639105,109
34,7759,0,229.0,1,403670.66681559134,53
25,5027,4,46.0,1,547434.90701559,17
9,1892,0,,0,132806.05720385278,27
24,4378,0,1036.0,1,346799.14496975584,41
30,6564,1,,0,361460.8017179133,28
46,10309,1,240.0,1,247065.22860863336,77
0,168,0,,0,97498.8993489016,23
42,9292,3,2620.0,0,373850.076346557,7
24,4378,0,1036.0,1,190541.06142392333,44
50,12238,8,1970.0,2,281895.58006865444,24
52,10311,6,,1,186883.4093145308,61
2,469,0,,0,189477.56021020148,27
74,19083,2,,5,166076.5522422024,12
23,5212,6,,3,325600.7658093509,45
2,629,1,,0,131037.88096849392,62
25,5648,1,30.0,2,227416.60571262223,9
23,5067,4,,2,226136.8226226693,56
42,7651,1,,1,479602.4365589888,119
53,13670,4,,1,270902.0000200423,25
74,19083,2,,5,184312.64764692265,13
11,3097,0,,0,172925.73052032848,27
43,7227,0,,1,180772.2181852068,87
52,10311,6,,1,248268.93210610736,61
74,19083,2,,5,253362.8943274229,13
2,629,1,,0,118939.00603397538,27
27,4798,0,30.0,2,160126.00401556253,128
4,915,0,,0,110967.15299231611,27
30,6207,1,1183.0,1,176080.39148408163,22
53,13670,4,,1,207710.2873160445,34
20,4386,14,,1,244852.01373819308,92
25,5648,1,30.0,2,191083.1152483649,9
2,629,1,,0,103182.85515361588,27
35,7715,4,990.0,0,181837.0529162604,74
6,1437,3,,0,203221.4907073509,23
5,1564,0,540.0,0,175042.81671498204,6
31,6137,4,,0,217071.6274316072,46
36,10055,3,,1,270409.14315945416,41
2,629,1,,0,114256.2361528797,27
53,14892,4,,1,155971.00245502123,27
33,8667,2,,0,330811.8611437134,94
35,5776,1,2078.0,2,188832.70553528785,99
30,6564,1,,0,273213.5773042759,126
2,475,0,,0,218718.0464513393,23
17,2810,9,4849.0,3,598541.3463852069,155
6,1437,3,,0,109463.90799467971,23
31,6119,4,,1,182068.3921926944,29
22,4625,11,3855.0,2,289152.4257645959,138
23,3975,8,770.0,2,518952.6672438657,100
22,6398,141,1046.0,3,200634.3018942396,30
10,2277,2,1547.0,0,134393.0002909056,29
9,1892,0,,0,165683.08477897302,27
27,4798,0,30.0,2,225505.09714539364,128
27,5664,48,2300.0,3,240824.0897287801,53
9,1892,0,,0,103357.14261820736,27
16,3433,4,2643.0,4,256252.28337079173,5
23,5212,6,,3,372016.9226293614,45
22,4625,11,3855.0,2,251614.57148503276,53
25,5027,4,46.0,1,386773.83686416346,108
1,388,0,,0,63900.20558965756,23
9,1892,0,,0,91024.13400324772,27
2,469,0,,0,140592.78444813256,27
52,10311,6,,1,242713.74633202757,61
43,10621,1,30.0,2,166243.72497733426,3
23,5067,4,,2,208773.97724299555,56
49,11395,3,1406.0,3,378215.06429873005,57
34,7065,1,750.0,2,158131.63085685042,52
13,2514,19,,0,126625.36740736804,164
9,1952,1,1430.0,3,131695.4601814718,58
31,6119,4,,1,186211.57829377783,105
23,3684,2,,0,214674.70533156843,89
4,915,0,,0,122541.47332070665,27
1,264,0,,0,140506.5896520492,1
47,11319,0,1145.0,3,88125.10046619903,123
66,10573,1,1322.0,3,227042.84531698105,110
74,19083,2,,5,323863.45292486163,13
34,7759,0,229.0,1,264602.8177686192,53
43,10621,1,30.0,2,213171.13519913805,93
23,4583,3,,3,186926.8619130469,47
21,4346,2,165.0,1,205617.75603979925,78
41,6558,7,1548.0,3,181169.2566817831,101
0,168,0,,0,131822.84033800566,23
53,14892,4,,1,200440.67698230367,96
34,7065,1,750.0,2,136059.38774027006,52
22,6398,141,1046.0,3,198393.4464494473,30
46,9515,5,,1,189991.99423758025,48
17,4017,7,800.0,2,396141.9035057582,33
47,8004,3,125.0,3,198364.95200366425,21
5,1564,0,540.0,0,146950.91241029336,6
9,1892,0,,0,94690.67827890089,27
6,1437,3,,0,185830.32313210052,74
34,7065,1,750.0,2,163644.4419839284,52
5,1564,0,540.0,0,179886.4771695398,6
33,7976,5,,0,218138.0959553581,35
66,10573,1,1322.0,3,186980.31660933024,110
36,6714,2,2672.0,0,424539.4045560169,26
8,1497,5,,1,481360.3607276174,36
5,1564,0,540.0,0,184050.456761254,6
24,5469,1,145.0,0,333862.6311519255,113
2,629,1,,0,179806.82095139354,27
26,4439,1,1130.0,1,277408.1671892173,8
13,2514,19,,0,202564.60090737249,127
50,12238,8,1970.0,2,260476.11895901032,66
42,9292,3,2620.0,0,190100.26940559788,7
25,4724,2,1308.0,1,149246.65614854684,44
30,5285,0,645.0,6,272357.5100624823,84
30,5048,9,325.0,2,183592.1368768556,79
22,6398,141,1046.0,3,129364.35153342452,30
22,6398,141,1046.0,3,173209.18614193212,30
28,6746,3,,1,151194.60706052624,8
27,5148,14,1575.0,5,260146.7256950457,132
46,9515,5,,1,220648.50133246585,48
33,8667,2,,0,181948.78718741672,94
33,6783,3,,1,377445.0789326676,69
9,1892,0,,0,129971.5766533174,27
25,5011,8,730.0,0,303995.51879916573,39
34,7759,0,229.0,1,214247.74711682164,53
52,10311,6,,1,170992.300712744,61
21,5731,0,,1,310494.8067512488,15
26,3889,6,705.0,3,345310.9519535162,63
6,1437,3,,0,218910.8287393992,23
43,10621,1,30.0,2,153918.52824728267,3
34,7759,0,229.0,1,243114.2228042609,53
30,6141,10,262.0,3,247187.5989650237,109
21,5731,0,,1,243933.53224984452,15
1,264,0,,0,155219.31209178152,1
39,7614,3,,1,291352.96534642536,64
6,1437,3,,0,141780.23185650609,23
35,7077,56,2301.0,3,338988.1767586858,132
30,6207,1,1183.0,1,193062.42792938583,22
26,4439,1,1130.0,1,175623.51123136832,47
23,5212,6,,3,339455.27115425834,45
24,4378,0,1036.0,1,145230.74373991432,44
46,9515,5,,1,295328.8595868018,48
22,6398,141,1046.0,3,153591.5515692437,30
18,3374,5,620.0,1,232979.49596198343,17
35,7715,4,990.0,0,170996.03668566275,2
23,5212,6,,3,442453.2165309396,45
21,4346,2,165.0,1,186505.8273927676,8
28,6533,1,1015.0,2,223678.7392163124,11
22,6398,141,1046.0,3,111851.44781424034,30
53,13670,4,,1,256069.3583147041,34
34,7759,0,229.0,1,247980.2752343256,53
66,10573,1,1322.0,3,172106.62807465618,71
6,1437,3,,0,111756.68993449748,23
1,264,0,,0,256598.2952181245,1
66,10573,1,1322.0,3,151255.32821147572,99
24,5469,1,145.0,0,396825.94313117815,113
74,19083,2,,5,178934.84321538857,57
1,264,0,,0,182031.07776581185,1
23,5067,4,,2,230995.3157184167,56
23,4635,5,3300.0,2,85476.34622089803,17
9,1892,0,,0,99309.37693734822,27
46,9515,5,,1,174177.51867372767,48
30,6207,1,1183.0,1,288922.97040205845,22
21,5731,0,,1,231155.220798704,15
47,8004,3,125.0,3,238622.09330182604,21
37,6856,84,1940.0,2,246405.8672418216,73
4,915,0,,0,149257.86284394402,27
22,6398,141,1046.0,3,165521.1959679776,30
31,6137,4,,0,344789.6152863426,46
52,10311,6,,1,248501.65416337995,61
5,1564,0,540.0,0,129020.39028894829,6
1,264,0,,0,129991.92345454045,1
23,5212,6,,3,144561.64722235428,98
30,5048,9,325.0,2,191289.96965324355,113
25,3478,11,2729.0,3,205911.40660522523,105
11,3097,0,,0,96928.230594503,27
5,1564,0,540.0,0,171909.5349482285,6
1,264,0,,0,203908.19269774613,1
26,4439,1,1130.0,1,208781.2990766896,8
11,3097,0,,0,118346.848789563,27
42,7651,1,,1,196209.5286704381,119
25,4756,16,2857.0,5,334328.5902203312,0
23,5212,6,,3,501040.9797082408,45
52,11217,1,2300.0,1,374073.8367791557,85
17,4017,7,800.0,2,214359.90714174265,129
2,629,1,,0,265707.0839257241,27
43,7227,0,,1,210769.51664143425,67
21,5731,0,,1,275277.71937183803,15
47,8004,3,125.0,3,163495.7818194914,21
31,6137,4,,0,354442.5964086033,25
30,6141,10,262.0,3,172131.17962647197,111
43,10621,1,30.0,2,142218.7979298213,3
2,629,1,,0,131321.8192880477,27
35,5776,1,2078.0,2,197705.80933984625,99
